# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
IC3065,31.052,941.2
IC2130,31.052,1669.7
NGC3985,31.053,1038.6
NGC4339,31.057,1216.2
NGC4080,31.06,542.4
NGC3769,31.06,768.2
IC2051,31.06,1546.1
NGC4633,31.061,255.6
NGC4458,31.062,625.3
IC3586,31.066,1667.4
UGC06955,31.067,924
PGC042884,31.069,850.6
NGC0918,31.069,1582.2
NGC1386,31.07,772.6
UGC10985,31.07,1948.6
NGC2841,31.07,671.6
NGC4612,31.071,1812.8
NGC4450,31.076,1915.6
NGC4515,31.078,915.7
PGC020827,31.08,1455.5
NGC2104,31.08,962.3
NGC4477,31.08,1308.7
IC3381,31.086,602.4
NGC3137,31.086,893.1
ESO487-035,31.09,1563.2
NGC3079,31.09,1221.8
IC3490,31.091,188.8
UGC06534,31.092,1356.9
NGC4435,31.092,750.5
ESO361-015,31.093,1012.1
NGC4904,31.094,1112.5
UGC06923,31.097,1157.1
IC3461,31.099,953.3
ESO145-025,31.1,1776.5
NGC7418,31.1,1450.7
